,word data,ocr data,conf,check,ocr time
0,C,C,0.986867273,0,618.7543556
1,o,o,0.986867273,0,
2,m,m,0.986867273,0,
3,m,m,0.986867273,0,
4,u,u,0.986867273,0,
5,n,n,0.986867273,0,
6,i,i,0.986867273,0,
7,c,c,0.986867273,0,
8,a,a,0.986867273,0,
9,t,t,0.986867273,0,
10,i,i,0.986867273,0,
11,o,o,0.986867273,0,
12,n,n,0.986867273,0,
13,s,s,0.986867273,0,
14,A,A,0.986867273,0,
15,u,u,0.986867273,0,
16,t,t,0.986867273,0,
17,h,h,0.986867273,0,
18,o,o,0.986867273,0,
19,r,r,0.986867273,0,
20,i,i,0.986867273,0,
21,t,t,0.986867273,0,
22,y,y,0.986867273,0,
23,C,C,0.77366526,0,
24,o,o,0.77366526,0,
25,m,m,0.77366526,0,
26,p,p,0.77366526,0,
27,l,l,0.77366526,0,
28,a,a,0.77366526,0,
29,i,i,0.77366526,0,
30,n,n,0.77366526,0,
31,t,t,0.77366526,0,
32,F,F,0.77366526,0,
33,o,o,0.77366526,0,
34,r,r,0.77366526,0,
35,m,m,0.77366526,0,
36,o,o,0.77366526,0,
37,n,,,1,
38,T,T,0.77366526,0,
39,e,e,0.77366526,0,
40,l,l,0.77366526,0,
41,e,e,0.77366526,0,
42,v,v,0.77366526,0,
43,i,i,0.77366526,0,
44,s,s,0.77366526,0,
45,i,i,0.77366526,0,
46,o,o,0.77366526,0,
47,n,n,0.77366526,0,
48,o,o,0.77366526,0,
49,r,r,0.77366526,0,
50,R,R,0.77366526,0,
51,a,a,0.77366526,0,
52,d,d,0.77366526,0,
53,i,i,0.77366526,0,
54,o,o,0.77366526,0,
55,B,B,0.77366526,0,
56,r,r,0.77366526,0,
57,o,o,0.77366526,0,
58,a,a,0.77366526,0,
59,d,d,0.77366526,0,
60,c,c,0.77366526,0,
61,a,a,0.77366526,0,
62,s,s,0.77366526,0,
63,t,t,0.77366526,0,
64,R,R,0.992274145,0,
65,e,e,0.992274145,0,
66,f,f,0.992274145,0,
67,N,N,0.992274145,0,
68,o,o,0.992274145,0,
69,:,,,1,
70,L,L,0.999956505,0,
71,M,M,0.999956505,0,
72,(,(,0.852058849,0,
73,F,F,0.852058849,0,
74,o,o,0.852058849,0,
75,r,r,0.852058849,0,
76,O,O,0.852058849,0,
77,f,f,0.852058849,0,
78,f,f,0.852058849,0,
79,i,i,0.852058849,0,
80,c,c,0.852058849,0,
81,i,i,0.852058849,0,
82,a,a,0.852058849,0,
83,l,l,0.852058849,0,
84,U,U,0.852058849,0,
85,s,s,0.852058849,0,
86,e,e,0.852058849,0,
87,),),0.852058849,0,
88,I,L,0.706195375,1,
89,N,N,0.706195375,0,
90,o,o,0.706195375,0,
91,t,t,0.706195375,0,
92,e,e,0.706195375,0,
93,s,s,0.706195375,0,
94,f,f,0.706195375,0,
95,o,o,0.706195375,0,
96,r,r,0.706195375,0,
97,C,C,0.706195375,0,
98,o,o,0.706195375,0,
99,m,m,0.706195375,0,
100,p,p,0.706195375,0,
101,l,l,0.706195375,0,
102,a,a,0.706195375,0,
103,i,i,0.706195375,0,
104,n,n,0.706195375,0,
105,a,a,0.706195375,0,
106,n,n,0.706195375,0,
107,t,t,0.706195375,0,
108,1,1,0.986237539,0,
109,T,T,0.733427614,0,
110,o,o,0.733427614,0,
111,a,a,0.733427614,0,
112,l,l,0.733427614,0,
113,l,l,0.733427614,0,
114,o,o,0.733427614,0,
115,w,w,0.733427614,0,
116,u,u,0.733427614,0,
117,s,s,0.733427614,0,
118,t,t,0.733427614,0,
119,o,o,0.733427614,0,
120,i,i,0.733427614,0,
121,n,n,0.733427614,0,
122,v,v,0.733427614,0,
123,e,e,0.733427614,0,
124,s,s,0.733427614,0,
125,t,t,0.733427614,0,
126,i,i,0.733427614,0,
127,g,g,0.733427614,0,
128,a,a,0.733427614,0,
129,t,t,0.733427614,0,
130,e,e,0.733427614,0,
131,y,y,0.733427614,0,
132,o,o,0.733427614,0,
133,u,u,0.733427614,0,
134,r,r,0.733427614,0,
135,c,c,0.733427614,0,
136,o,o,0.733427614,0,
137,m,m,0.733427614,0,
138,p,p,0.733427614,0,
139,l,l,0.733427614,0,
140,a,a,0.733427614,0,
141,i,i,0.733427614,0,
142,n,n,0.733427614,0,
143,t,t,0.733427614,0,
144,",",",",0.733427614,0,
145,p,p,0.733427614,0,
146,l,l,0.733427614,0,
147,e,e,0.733427614,0,
148,a,a,0.733427614,0,
149,s,s,0.733427614,0,
150,e,e,0.733427614,0,
151,p,p,0.733427614,0,
152,r,r,0.733427614,0,
153,o,o,0.733427614,0,
154,v,v,0.733427614,0,
155,i,i,0.733427614,0,
156,d,d,0.733427614,0,
157,e,e,0.733427614,0,
158,u,u,0.733427614,0,
159,s,s,0.733427614,0,
160,w,w,0.733427614,0,
161,i,i,0.733427614,0,
162,t,t,0.733427614,0,
163,h,h,0.733427614,0,
164,s,s,0.733427614,0,
165,u,u,0.733427614,0,
166,f,f,0.733427614,0,
167,f,f,0.733427614,0,
168,i,i,0.733427614,0,
169,c,c,0.733427614,0,
170,i,i,0.733427614,0,
171,e,e,0.733427614,0,
172,n,n,0.733427614,0,
173,t,t,0.733427614,0,
174,i,i,0.733427614,0,
175,n,n,0.733427614,0,
176,f,f,0.733427614,0,
177,o,o,0.733427614,0,
178,r,r,0.733427614,0,
179,m,m,0.733427614,0,
180,a,a,0.733427614,0,
181,t,t,0.733427614,0,
182,i,i,0.733427614,0,
183,o,o,0.733427614,0,
184,n,n,0.733427614,0,
185,s,s,0.886805267,0,
186,u,u,0.886805267,0,
187,c,c,0.886805267,0,
188,h,h,0.886805267,0,
189,a,a,0.886805267,0,
190,s,s,0.886805267,0,
191,t,t,0.886805267,0,
192,h,h,0.886805267,0,
193,e,e,0.886805267,0,
194,n,n,0.886805267,0,
195,a,a,0.886805267,0,
196,m,m,0.886805267,0,
197,e,e,0.886805267,0,
198,o,o,0.886805267,0,
199,f,f,0.886805267,0,
200,t,t,0.886805267,0,
201,h,h,0.886805267,0,
202,e,e,0.886805267,0,
203,p,p,0.886805267,0,
204,r,r,0.886805267,0,
205,o,o,0.886805267,0,
206,g,g,0.886805267,0,
207,r,r,0.886805267,0,
208,a,a,0.886805267,0,
209,m,m,0.886805267,0,
210,m,m,0.886805267,0,
211,e,e,0.886805267,0,
212,",",",",0.886805267,0,
213,a,a,0.886805267,0,
214,d,d,0.886805267,0,
215,v,v,0.886805267,0,
216,e,e,0.886805267,0,
217,r,r,0.886805267,0,
218,t,t,0.886805267,0,
219,i,i,0.886805267,0,
220,s,s,0.886805267,0,
221,e,e,0.886805267,0,
222,m,m,0.886805267,0,
223,e,e,0.886805267,0,
224,n,n,0.886805267,0,
225,t,t,0.886805267,0,
226,o,o,0.886805267,0,
227,r,r,0.886805267,0,
228,o,o,0.886805267,0,
229,t,t,0.886805267,0,
230,h,h,0.886805267,0,
231,e,e,0.886805267,0,
232,r,r,0.886805267,0,
233,b,b,0.886805267,0,
