,word data,ocr data,conf,check,ocr time
0,N,N,96,0,51.82531213
1,O,O,96,0,
2,T,T,96,0,
3,I,I,96,0,
4,C,C,96,0,
5,E,E,96,0,
6,O,O,95,0,
7,F,F,95,0,
8,C,C,95,0,
9,H,H,95,0,
10,A,A,95,0,
11,N,N,95,0,
12,G,G,95,0,
13,E,E,95,0,
14,O,O,96,0,
15,F,F,96,0,
16,A,A,95,0,
17,D,D,95,0,
18,D,D,95,0,
19,R,R,95,0,
20,E,E,95,0,
21,S,S,95,0,
22,S,S,95,0,
23,O,O,95,0,
24,F,F,95,0,
25,R,R,96,0,
26,E,E,96,0,
27,G,G,96,0,
28,I,I,96,0,
29,S,S,96,0,
30,T,T,96,0,
31,E,E,96,0,
32,R,R,96,0,
33,E,E,96,0,
34,D,D,96,0,
35,O,O,96,0,
36,F,F,96,0,
37,F,F,96,0,
38,I,I,96,0,
39,C,C,96,0,
40,E,E,96,0,
41,F,F,96,0,
42,o,o,96,0,
43,r,r,96,0,
44,t,t,96,0,
45,h,h,96,0,
46,e,e,96,0,
47,p,p,96,0,
48,u,u,96,0,
49,r,r,96,0,
50,p,p,96,0,
51,o,o,96,0,
52,s,s,96,0,
53,e,e,96,0,
54,s,s,96,0,
55,o,o,96,0,
56,f,f,96,0,
57,s,s,93,0,
58,e,e,93,0,
59,c,c,93,0,
60,t,t,93,0,
61,i,i,93,0,
62,o,o,93,0,
63,n,n,93,0,
64,6,6,91,0,
65,5,5,91,0,
66,8,8,91,0,
67,(,(,91,0,
68,3,3,91,0,
69,),),91,0,
70,o,o,96,0,
71,f,f,96,0,
72,C,C,96,0,
73,o,o,96,0,
74,m,m,96,0,
75,p,p,96,0,
76,a,a,96,0,
77,n,n,96,0,
78,i,i,96,0,
79,e,e,96,0,
80,s,s,96,0,
81,O,O,96,0,
82,r,r,96,0,
83,d,d,96,0,
84,i,i,96,0,
85,n,n,96,0,
86,a,a,96,0,
87,n,n,96,0,
88,c,c,96,0,
89,e,e,96,0,
90,(,(,96,0,
91,C,C,96,0,
92,a,a,96,0,
93,p,p,96,0,
94,6,6,96,0,
95,2,2,96,0,
96,2,2,96,0,
97,),),96,0,
98,N,N,96,0,
99,o,o,96,0,
100,t,t,96,0,
101,e,e,96,0,
102,s,s,96,0,
103,f,f,95,0,
104,o,o,95,0,
105,r,r,95,0,
106,C,C,95,0,
107,o,o,95,0,
108,m,m,95,0,
109,p,p,95,0,
110,l,l,95,0,
111,e,e,95,0,
112,t,t,95,0,
113,i,i,95,0,
114,o,o,95,0,
115,n,n,95,0,
116,o,o,96,0,
117,f,f,96,0,
118,F,F,93,0,
119,o,o,93,0,
120,r,r,93,0,
121,m,m,93,0,
122,N,N,91,0,
123,R,R,91,0,
124,1,1,91,0,
125,I,I,96,0,
126,n,n,96,0,
127,t,t,96,0,
128,r,r,96,0,
129,o,o,96,0,
130,d,d,96,0,
131,u,u,96,0,
132,c,c,96,0,
133,t,t,96,0,
134,i,i,96,0,
135,o,o,96,0,
136,n,n,96,0,
137,1,,,1,
138,E,E,96,0,
139,v,v,96,0,
140,e,e,96,0,
141,r,r,96,0,
142,y,y,96,0,
143,c,c,96,0,
144,o,o,96,0,
145,m,m,96,0,
146,p,p,96,0,
147,a,a,96,0,
148,n,n,96,0,
149,y,y,96,0,
150,i,i,94,0,
151,n,n,94,0,
152,c,c,94,0,
153,o,o,94,0,
154,r,r,94,0,
