,word data,ocr data,conf,check,ocr time,
0,C,C,96,0,14.03343892,
1,o,o,96,0,,
2,m,m,96,0,,
3,m,m,96,0,,
4,u,u,96,0,,
5,n,n,96,0,,
6,i,i,96,0,,
7,c,c,96,0,,
8,a,a,96,0,,
9,t,t,96,0,,
10,i,i,96,0,,
11,o,o,96,0,,
12,n,n,96,0,,
13,s,s,96,0,,
14,A,A,96,0,,
15,u,u,96,0,,
16,t,t,96,0,,
17,h,h,96,0,,
18,o,o,96,0,,
19,r,r,96,0,,
20,i,i,96,0,,
21,t,t,96,0,,
22,y,y,96,0,,
23,C,C,96,0,,
24,o,o,96,0,,
25,m,m,96,0,,
26,p,p,96,0,,
27,l,l,96,0,,
28,a,a,96,0,,
29,i,i,96,0,,
30,n,n,96,0,,
31,t,t,96,0,,
32,F,F,96,0,,
33,o,o,96,0,,
34,r,r,96,0,,
35,m,m,96,0,,
36,o,o,95,0,,
37,n,n,95,0,,
38,T,T,96,0,,
39,e,e,96,0,,
40,l,l,96,0,,
41,e,e,96,0,,
42,v,v,96,0,,
43,i,i,96,0,,
44,s,s,96,0,,
45,i,i,96,0,,
46,o,o,96,0,,
47,n,n,96,0,,
48,o,o,96,0,,
49,r,r,96,0,,
50,R,R,96,0,,
51,a,a,96,0,,
52,d,d,96,0,,
53,i,i,96,0,,
54,o,o,96,0,,
55,B,B,96,0,,
56,r,r,96,0,,
57,o,o,96,0,,
58,a,a,96,0,,
59,d,d,96,0,,
60,c,c,96,0,,
61,a,a,96,0,,
62,s,s,96,0,,
63,t,t,96,0,,
64,R,R,95,0,,
65,e,e,95,0,,
66,f,f,95,0,,
67,N,N,92,0,,
68,o,o,92,0,,
69,:,:,72,0,,
70,L,L,97,0,,
71,M,M,97,0,,
72,(,(,96,0,,
73,F,F,96,0,,
74,o,o,96,0,,
75,r,r,96,0,,
76,O,O,96,0,,
77,f,f,96,0,,
78,f,f,96,0,,
79,i,i,96,0,,
80,c,c,96,0,,
81,i,i,96,0,,
82,a,a,96,0,,
83,l,l,96,0,,
84,U,U,96,0,,
85,s,s,96,0,,
86,e,e,96,0,,
87,),),96,0,,
88,I,L,91,1,,
89,N,N,91,0,,
90,o,o,91,0,,
91,t,t,91,0,,
92,e,e,91,0,,
93,s,s,91,0,,
94,f,f,96,0,,
95,o,o,96,0,,
96,r,r,96,0,,
97,C,C,94,0,,
98,o,o,94,0,,
99,m,m,94,0,,
100,p,p,94,0,,
101,l,l,94,0,,
102,a,a,94,0,,
103,i,i,94,0,,
104,n,n,94,0,,
105,a,a,94,0,,
106,n,n,94,0,,
107,t,t,94,0,,
108,1,1,89,0,,
109,T,T,96,0,,
110,o,o,96,0,,
111,a,a,96,0,,
112,l,l,96,0,,
113,l,l,96,0,,
114,o,o,96,0,,
115,w,w,96,0,,
116,u,u,96,0,,
117,s,s,96,0,,
118,t,t,96,0,,
119,o,o,96,0,,
120,i,i,96,0,,
121,n,n,96,0,,
122,v,v,96,0,,
123,e,e,96,0,,
124,s,s,96,0,,
125,t,t,96,0,,
126,i,i,96,0,,
127,g,g,96,0,,
128,a,a,96,0,,
129,t,t,96,0,,
130,e,e,96,0,,
131,y,y,95,0,,
132,o,o,95,0,,
133,u,u,95,0,,
134,r,r,95,0,,
135,c,c,96,0,,
136,o,o,96,0,,
137,m,m,96,0,,
138,p,p,96,0,,
139,l,l,96,0,,
140,a,a,96,0,,
141,i,i,96,0,,
142,n,n,96,0,,
143,t,t,96,0,,
144,",",",",96,0,,
145,p,p,97,0,,
146,l,l,97,0,,
147,e,e,97,0,,
148,a,a,97,0,,
149,s,s,97,0,,
150,e,e,97,0,,
151,p,p,96,0,,
152,r,r,96,0,,
153,o,o,96,0,,
154,v,v,96,0,,
155,i,i,96,0,,
156,d,d,96,0,,
157,e,e,96,0,,
158,u,u,96,0,,
159,s,s,96,0,,
160,w,w,96,0,,
161,i,i,96,0,,
162,t,t,96,0,,
163,h,h,96,0,,
164,s,s,96,0,,
165,u,u,96,0,,
166,f,f,96,0,,
167,f,f,96,0,,
168,i,i,96,0,,
169,c,c,96,0,,
170,i,i,96,0,,
171,e,e,96,0,,
172,n,n,96,0,,
173,t,t,96,0,,
174,i,i,96,0,,
175,n,n,96,0,,
176,f,f,96,0,,
177,o,o,96,0,,
178,r,r,96,0,,
179,m,m,96,0,,
180,a,a,96,0,,
181,t,t,96,0,,
182,i,i,96,0,,
183,o,o,96,0,,
184,n,n,96,0,,
185,s,s,96,0,,
186,u,u,96,0,,
187,c,c,96,0,,
188,h,h,96,0,,
189,a,a,96,0,,
190,s,s,96,0,,
191,t,t,96,0,,
192,h,h,96,0,,
193,e,e,96,0,,
194,n,n,96,0,,
195,a,a,96,0,,
196,m,m,96,0,,
