,word data,ocr data,conf,check,ocr time
0,A,A,95,0,2.208197832
1,N,N,95,0,
2,N,N,95,0,
3,U,U,95,0,
4,A,A,95,0,
5,L,L,95,0,
6,R,R,95,0,
7,E,E,95,0,
8,T,T,95,0,
9,U,U,95,0,
10,R,R,95,0,
11,N,N,95,0,
12,O,O,96,0,
13,N,N,96,0,
14,D,D,96,0,
15,I,I,96,0,
16,R,R,96,0,
17,E,E,96,0,
18,C,C,96,0,
19,T,T,96,0,
20,O,O,96,0,
21,R,R,96,0,
22,S,S,96,0,
23,A,A,95,0,
24,N,N,95,0,
25,D,D,95,0,
26,P,P,96,0,
27,R,R,96,0,
28,I,I,96,0,
29,N,N,96,0,
30,C,C,96,0,
31,I,I,96,0,
32,P,P,96,0,
33,A,A,96,0,
34,L,L,96,0,
35,O,O,96,0,
36,F,F,96,0,
37,F,F,96,0,
38,I,I,96,0,
39,C,C,96,0,
40,E,E,96,0,
41,R,R,96,0,
42,S,S,96,0,
43,B,B,96,0,
44,Y,Y,96,0,
45,A,A,96,0,
46,N,N,96,0,
47,O,O,93,0,
48,T,T,93,0,
49,H,H,93,0,
50,E,E,93,0,
51,R,R,93,0,
52,L,L,91,0,
53,I,I,91,0,
54,C,C,91,0,
55,E,E,91,0,
56,N,N,91,0,
57,S,S,91,0,
58,A,A,91,0,
59,B,B,91,0,
60,L,L,91,0,
61,E,E,91,0,
62,T,T,95,0,
63,E,E,95,0,
64,L,L,95,0,
65,E,E,95,0,
66,V,V,95,0,
67,I,I,95,0,
68,S,S,95,0,
69,I,I,95,0,
70,O,O,95,0,
71,N,N,95,0,
72,P,P,95,0,
73,R,R,95,0,
74,O,O,95,0,
75,G,G,95,0,
76,R,R,95,0,
77,A,A,95,0,
78,M,M,95,0,
79,M,M,95,0,
80,E,E,95,0,
81,S,S,95,0,
82,E,E,95,0,
83,R,R,95,0,
84,V,V,95,0,
85,I,I,95,0,
86,C,C,95,0,
87,E,E,95,0,
88,L,L,96,0,
89,I,I,96,0,
90,C,C,96,0,
91,E,E,96,0,
92,N,N,96,0,
93,S,S,96,0,
94,E,E,96,0,
95,E,E,96,0,
96,(,(,95,0,
97,H,H,95,0,
98,O,O,95,0,
99,T,T,95,0,
100,E,E,95,0,
101,L,L,95,0,
102,),),95,0,
103,p,p,96,0,
104,u,u,96,0,
105,r,r,96,0,
106,s,s,96,0,
107,u,u,96,0,
108,a,a,96,0,
109,n,n,96,0,
110,t,t,96,0,
111,t,t,95,0,
112,o,o,95,0,
113,s,s,93,0,
114,e,e,93,0,
115,c,c,93,0,
116,t,t,93,0,
117,i,i,93,0,
118,o,o,93,0,
119,n,n,93,0,
120,3,3,92,0,
121,9,9,92,0,
122,(,(,92,0,
123,1,1,92,0,
124,),),92,0,
125,o,o,96,0,
126,f,f,96,0,
127,t,t,96,0,
128,h,h,96,0,
129,e,e,96,0,
130,B,B,96,0,
131,r,r,96,0,
132,o,o,96,0,
133,a,a,96,0,
134,d,d,96,0,
135,c,c,96,0,
136,a,a,96,0,
137,s,s,96,0,
138,t,t,96,0,
139,i,i,96,0,
140,n,n,96,0,
141,g,g,96,0,
142,O,O,96,0,
143,r,r,96,0,
144,d,d,96,0,
145,i,i,96,0,
146,n,n,96,0,
147,a,a,96,0,
148,n,n,96,0,
149,c,c,96,0,
150,e,e,96,0,
151,(,(,91,0,
152,C,C,91,0,
153,a,a,91,0,
154,p,p,91,0,
155,5,5,91,0,
156,6,6,91,0,
157,2,2,91,0,
158,),),91,0,
159,(,(,96,0,
160,T,T,96,0,
161,o,o,96,0,
162,b,b,96,0,
163,e,e,96,0,
164,s,s,96,0,
165,u,u,96,0,
166,b,b,96,0,
167,m,m,96,0,
168,i,i,96,0,
169,t,t,96,0,
170,t,t,96,0,
171,e,e,96,0,
172,d,d,96,0,
173,o,o,96,0,
174,n,n,96,0,
175,o,o,96,0,
176,r,r,96,0,
177,b,b,96,0,
178,e,e,96,0,
179,f,f,96,0,
180,o,o,96,0,
181,r,r,96,0,
182,e,e,96,0,
183,1,1,93,0,
184,A,A,96,0,
185,p,p,96,0,
186,r,r,96,0,
187,i,i,96,0,
188,l,l,96,0,
189,e,e,96,0,
190,a,a,96,0,
191,c,c,96,0,
192,h,h,96,0,
193,y,y,96,0,
194,e,e,96,0,
195,a,a,96,0,
196,r,r,96,0,
197,),),96,0,
198,T,T,96,0,
199,o,o,96,0,
200,C,C,96,0,
201,o,o,96,0,
202,m,m,96,0,
203,m,m,96,0,
204,u,u,96,0,
205,n,n,96,0,
206,i,i,96,0,
207,c,c,96,0,
208,a,a,96,0,
209,t,t,96,0,
210,i,i,96,0,
211,o,o,96,0,
212,n,n,96,0,
213,s,s,96,0,
214,A,A,96,0,
215,u,u,96,0,
216,t,t,96,0,
217,h,h,96,0,
218,o,o,96,0,
219,r,r,96,0,
220,i,i,96,0,
221,t,t,96,0,
222,y,y,96,0,
223,N,N,96,0,
224,a,a,96,0,
225,m,m,96,0,
226,e,e,96,0,
227,o,o,96,0,
228,f,f,96,0,
229,L,L,96,0,
230,i,i,96,0,
231,c,c,96,0,
232,e,e,96,0,
233,n,n,96,0,
234,s,s,96,0,
235,e,e,96,0,
236,e,e,96,0,
237,h,h,96,0,
238,e,e,96,0,
239,r,r,96,0,
240,e,e,96,0,
241,b,b,96,0,
242,y,y,96,0,
243,s,s,96,0,
244,u,u,96,0,
245,b,b,96,0,
246,m,m,96,0,
247,i,i,96,0,
248,t,t,96,0,
249,s,s,96,0,
250,t,t,96,0,
251,o,o,96,0,
252,y,y,96,0,
253,o,o,96,0,
254,u,u,96,0,
255,i,i,96,0,
256,n,n,96,0,
257,a,a,96,0,
258,c,c,96,0,
259,c,c,96,0,
260,o,o,96,0,
261,r,r,96,0,
262,d,d,96,0,
263,a,a,96,0,
264,n,n,96,0,
265,c,c,96,0,
266,e,e,96,0,
267,w,w,96,0,
268,i,i,96,0,
269,t,t,96,0,
270,h,h,96,0,
271,s,s,93,0,
272,e,e,93,0,
273,c,c,93,0,
274,t,t,93,0,
275,i,i,93,0,
276,o,o,93,0,
277,n,n,93,0,
278,3,3,93,0,
279,9,9,93,0,
280,(,(,93,0,
281,1,1,93,0,
282,),),93,0,
283,o,o,96,0,
284,f,f,96,0,
285,t,t,96,0,
286,h,h,96,0,
287,e,e,96,0,
288,B,B,96,0,
289,r,r,96,0,
290,o,o,96,0,
291,a,a,96,0,
292,d,d,96,0,
293,c,c,96,0,
294,a,a,96,0,
295,s,s,96,0,
296,t,t,96,0,
297,i,i,96,0,
298,n,n,96,0,
299,g,g,96,0,
300,O,O,96,0,
301,r,r,96,0,
302,d,d,96,0,
303,i,i,96,0,
304,n,n,96,0,
305,a,a,96,0,
306,n,n,96,0,
307,c,c,96,0,
308,e,e,96,0,
309,(,(,96,0,
310,C,C,96,0,
311,a,a,96,0,
312,p,p,96,0,
313,5,5,95,0,
314,6,6,95,0,
315,2,2,95,0,
316,),),95,0,
317,a,a,94,0,
318,r,r,94,0,
319,e,e,94,0,
320,t,t,94,0,
321,u,u,94,0,
322,r,r,94,0,
323,n,n,94,0,
324,s,s,96,0,
325,h,h,96,0,
326,o,o,96,0,
327,w,w,96,0,
328,i,i,96,0,
329,n,n,96,0,
330,g,g,96,0,
331,t,t,96,0,
332,h,h,96,0,
333,e,e,96,0,
334,p,p,96,0,
335,a,a,96,0,
336,r,r,96,0,
337,t,t,96,0,
338,i,i,96,0,
339,c,c,96,0,
340,u,u,96,0,
341,l,l,96,0,
342,a,a,96,0,
343,r,r,96,0,
344,s,s,96,0,
345,o,o,96,0,
346,f,f,96,0,
347,d,d,96,0,
348,i,i,96,0,
349,r,r,96,0,
350,e,e,96,0,
351,c,c,96,0,
352,t,t,96,0,
353,o,o,96,0,
354,r,r,96,0,
355,s,s,96,0,
356,a,a,96,0,
357,n,n,96,0,
358,d,d,96,0,
359,p,p,96,0,
360,r,r,96,0,
361,i,i,96,0,
362,n,n,96,0,
363,c,c,96,0,
364,i,i,96,0,
365,p,p,96,0,
366,a,a,96,0,
367,l,l,96,0,
368,o,o,96,0,
369,f,f,96,0,
370,f,f,96,0,
371,i,i,96,0,
372,c,c,96,0,
373,e,e,96,0,
374,r,r,96,0,
375,s,s,96,0,
376,a,a,96,0,
377,s,s,96,0,
378,a,a,96,0,
379,t,t,96,0,
380,t,t,96,0,
381,o,o,96,0,
382,d,d,96,0,
383,a,a,96,0,
384,y,y,96,0,
385,P,P,96,0,
386,a,a,96,0,
387,r,r,96,0,
388,t,t,96,0,
389,i,i,96,0,
390,c,c,96,0,
391,u,u,96,0,
392,l,l,96,0,
393,a,a,96,0,
394,r,r,96,0,
395,s,s,96,0,
396,o,o,96,0,
397,f,f,96,0,
398,d,d,91,0,
399,i,i,91,0,
400,r,r,91,0,
401,e,e,91,0,
402,c,c,91,0,
403,t,t,91,0,
404,o,o,91,0,
405,r,r,91,0,
406,(,(,91,0,
407,s,s,91,0,
408,),),91,0,
409,a,a,96,0,
410,n,n,96,0,
411,d,d,96,0,
412,p,p,93,0,
413,r,r,93,0,
414,i,i,93,0,
415,n,n,93,0,
416,c,c,93,0,
417,i,i,93,0,
418,p,p,93,0,
419,a,a,93,0,
420,l,l,93,0,
421,o,o,92,0,
422,f,f,92,0,
423,f,f,92,0,
424,i,i,92,0,
425,c,c,92,0,
426,e,e,92,0,
427,r,r,92,0,
428,(,(,92,0,
429,s,s,92,0,
430,),),92,0,
431,i,i,96,0,
432,s,s,96,0,
433,/,/,96,0,
434,a,a,96,0,
435,r,r,96,0,
436,e,e,96,0,
437,p,p,95,0,
438,r,r,95,0,
439,o,o,95,0,
440,v,v,95,0,
441,i,i,95,0,
442,d,d,95,0,
443,e,e,95,0,
444,d,d,95,0,
445,i,i,95,0,
446,n,n,95,0,
447,t,t,96,0,
448,h,h,96,0,
449,e,e,96,0,
450,c,c,96,0,
451,o,o,96,0,
452,m,m,96,0,
453,p,p,96,0,
454,l,l,96,0,
455,e,e,96,0,
456,t,t,96,0,
457,e,e,96,0,
458,d,d,96,0,
459,f,f,96,0,
460,o,o,96,0,
461,r,r,96,0,
462,m,m,96,0,
463,(,(,96,0,
464,s,s,96,0,
465,),),96,0,
466,a,a,96,0,
467,t,t,96,0,
468,t,t,96,0,
469,a,a,96,0,
470,c,c,96,0,
471,h,h,96,0,
472,e,e,96,0,
473,d,d,96,0,
474,S,S,96,0,
475,i,i,96,0,
476,g,g,96,0,
477,n,n,96,0,
478,a,a,96,0,
479,t,t,96,0,
480,u,u,96,0,
481,r,r,96,0,
482,e,e,96,0,
483,:,,,1,
484,F,F,95,0,
485,u,u,95,0,
486,l,l,95,0,
487,l,l,95,0,
488,N,N,95,0,
489,a,a,95,0,
490,m,m,95,0,
491,e,e,95,0,
492,:,,,1,
493,P,P,96,0,
494,o,o,96,0,
495,s,s,96,0,
496,i,i,96,0,
497,t,t,96,0,
498,i,i,96,0,
499,o,o,96,0,
500,n,n,96,0,
501,i,i,96,0,
502,n,n,96,0,
503,L,L,96,0,
