,word data,ocr data,conf,check,ocr time
0,A,A,96,0,10.73023796
1,N,N,96,0,
2,N,N,96,0,
3,U,U,96,0,
4,A,A,96,0,
5,L,L,96,0,
6,R,R,96,0,
7,E,E,96,0,
8,T,T,96,0,
9,U,U,96,0,
10,R,R,96,0,
11,N,N,96,0,
12,F,F,96,0,
13,o,o,96,0,
14,r,r,96,0,
15,t,t,96,0,
16,h,h,96,0,
17,e,e,96,0,
18,p,p,96,0,
19,u,u,96,0,
20,r,r,96,0,
21,p,p,96,0,
22,o,o,96,0,
23,s,s,96,0,
24,e,e,96,0,
25,s,s,96,0,
26,o,o,96,0,
27,f,f,96,0,
28,s,s,96,0,
29,e,e,96,0,
30,c,c,96,0,
31,t,t,96,0,
32,i,i,96,0,
33,o,o,96,0,
34,n,n,96,0,
35,6,6,96,0,
36,6,6,96,0,
37,2,2,96,0,
38,o,o,95,0,
39,f,f,95,0,
40,C,C,95,0,
41,o,o,95,0,
42,m,m,95,0,
43,p,p,95,0,
44,a,a,95,0,
45,n,n,95,0,
46,i,i,95,0,
47,e,e,95,0,
48,s,s,95,0,
49,O,O,96,0,
50,r,r,96,0,
51,d,d,96,0,
52,i,i,96,0,
53,n,n,96,0,
54,a,a,96,0,
55,n,n,96,0,
56,c,c,96,0,
57,e,e,96,0,
58,(,(,96,0,
59,C,C,96,0,
60,a,a,96,0,
61,p,p,96,0,
62,6,6,96,0,
63,2,2,96,0,
64,2,2,96,0,
65,),),96,0,
66,N,N,96,0,
67,o,o,96,0,
68,t,t,96,0,
69,e,e,96,0,
70,s,s,96,0,
71,f,f,94,0,
72,o,o,94,0,
73,r,r,94,0,
74,C,C,94,0,
75,o,o,94,0,
76,m,m,94,0,
77,p,p,94,0,
78,l,l,94,0,
79,e,e,94,0,
80,t,t,94,0,
81,i,i,94,0,
82,o,o,94,0,
83,n,n,94,0,
84,o,o,96,0,
85,f,f,96,0,
86,F,F,93,0,
87,o,o,93,0,
88,r,r,93,0,
89,m,m,93,0,
90,N,N,91,0,
91,A,A,91,0,
92,R,R,91,0,
93,1,1,91,0,
94,I,I,96,0,
95,n,n,96,0,
96,t,t,96,0,
97,r,r,96,0,
98,o,o,96,0,
99,d,d,96,0,
100,u,u,96,0,
101,c,c,96,0,
102,t,t,96,0,
103,i,i,96,0,
104,o,o,96,0,
105,n,n,96,0,
106,1,,,1,
107,E,E,96,0,
108,v,v,96,0,
109,e,e,96,0,
110,r,r,96,0,
111,y,y,96,0,
112,c,c,96,0,
113,o,o,96,0,
114,m,m,96,0,
115,p,p,96,0,
116,a,a,96,0,
117,n,n,96,0,
118,y,y,96,0,
119,i,i,96,0,
120,n,n,96,0,
121,c,c,96,0,
122,o,o,96,0,
123,r,r,96,0,
124,p,p,96,0,
125,o,o,96,0,
126,r,r,96,0,
127,a,a,96,0,
128,t,t,96,0,
129,e,e,96,0,
130,d,d,96,0,
131,i,i,96,0,
132,n,n,96,0,
133,H,H,96,0,
134,o,o,96,0,
135,n,n,96,0,
136,g,g,96,0,
137,K,K,96,0,
138,o,o,96,0,
139,n,n,96,0,
140,g,g,96,0,
141,m,m,96,0,
142,u,u,96,0,
143,s,s,96,0,
144,t,t,96,0,
145,m,m,96,0,
146,a,a,96,0,
147,k,k,96,0,
148,e,e,96,0,
